Source,Target,Weight
mizoram,manipur,5
west bengal,manipur,5
tripura,manipur,4
nagaland,manipur,3
meghalaya,manipur,3
assam,meghalaya,167
bihar,meghalaya,34
west bengal,meghalaya,22
manipur,meghalaya,11
tripura,meghalaya,9
mizoram,meghalaya,8
nagaland,meghalaya,5
uttar pradesh,meghalaya,4
karnataka,meghalaya,4
punjab,meghalaya,3
manipur,mizoram,57
assam,mizoram,24
meghalaya,mizoram,20
west bengal,mizoram,8
tripura,mizoram,5
bihar,mizoram,3
rajasthan,mizoram,2
arunachal pradesh,mizoram,2
himachal pradesh,mizoram,1
uttranchal,mizoram,1
assam,nagaland,236
manipur,nagaland,108
bihar,nagaland,79
west bengal,nagaland,34
uttar pradesh,nagaland,31
rajasthan,nagaland,23
jharkhand,nagaland,15
tripura,nagaland,14
odisha,nagaland,9
uttranchal,nagaland,5
uttar pradesh,nct of delhi,1456
haryana,nct of delhi,622
punjab,nct of delhi,468
rajasthan,nct of delhi,291
bihar,nct of delhi,259
uttranchal,nct of delhi,216
west bengal,nct of delhi,171
maharashtra,nct of delhi,109
madhya pradesh,nct of delhi,98
jammu & kashmir,nct of delhi,87
andhra pradesh,odisha,1109
bihar,odisha,541
west bengal,odisha,540
jharkhand,odisha,369
chhattisgarh,odisha,313
uttar pradesh,odisha,195
rajasthan,odisha,100
gujarat,odisha,89
tamil nadu,odisha,83
maharashtra,odisha,73
tamil nadu,puducherry,352
andhra pradesh,puducherry,23
kerala,puducherry,10
karnataka,puducherry,4
rajasthan,puducherry,3
west bengal,puducherry,2
gujarat,puducherry,2
maharashtra,puducherry,2
jammu & kashmir,puducherry,1
punjab,puducherry,1
haryana,punjab,749
uttar pradesh,punjab,720
himachal pradesh,punjab,390
rajasthan,punjab,310
bihar,punjab,250
jammu & kashmir,punjab,194
nct of delhi,punjab,187
chandigargh,punjab,129
west bengal,punjab,81
uttranchal,punjab,75
uttar pradesh,rajasthan,465
madhya pradesh,rajasthan,338
haryana,rajasthan,258
gujarat,rajasthan,153
punjab,rajasthan,137
west bengal,rajasthan,95
nct of delhi,rajasthan,91
bihar,rajasthan,78
maharashtra,rajasthan,69
uttranchal,rajasthan,29
west bengal,sikkim,72
bihar,sikkim,67
uttar pradesh,sikkim,13
haryana,sikkim,5
assam,sikkim,3
rajasthan,sikkim,2
jharkhand,sikkim,2
jammu & kashmir,sikkim,1
arunachal pradesh,sikkim,1
meghalaya,sikkim,1
kerala,tamil nadu,650
andhra pradesh,tamil nadu,389
rajasthan,tamil nadu,361
karnataka,tamil nadu,254
maharashtra,tamil nadu,134
puducherry,tamil nadu,125
gujarat,tamil nadu,89
west bengal,tamil nadu,31
uttar pradesh,tamil nadu,25
nct of delhi,tamil nadu,19
assam,tripura,28
mizoram,tripura,17
bihar,tripura,10
west bengal,tripura,8
rajasthan,tripura,5
uttar pradesh,tripura,4
jharkhand,tripura,2
himachal pradesh,tripura,1
meghalaya,tripura,1
odisha,tripura,1
nct of delhi,uttar pradesh,967
bihar,uttar pradesh,964
madhya pradesh,uttar pradesh,837
rajasthan,uttar pradesh,468
uttranchal,uttar pradesh,430
west bengal,uttar pradesh,383
haryana,uttar pradesh,338
punjab,uttar pradesh,297
jharkhand,uttar pradesh,151
assam,uttar pradesh,146
uttar pradesh,uttarakhand,529
punjab,uttarakhand,39
haryana,uttarakhand,36
nct of delhi,uttarakhand,30
himachal pradesh,uttarakhand,29
bihar,uttarakhand,21
west bengal,uttarakhand,18
rajasthan,uttarakhand,14
madhya pradesh,uttarakhand,12
gujarat,uttarakhand,7
bihar,west bengal,2334
jharkhand,west bengal,679
uttar pradesh,west bengal,674
rajasthan,west bengal,318
assam,west bengal,289
odisha,west bengal,226
gujarat,west bengal,200
punjab,west bengal,81
haryana,west bengal,60
nct of delhi,west bengal,56
