Source,Target,Weight
meghalaya,mizoram,16
bihar,mizoram,7
tripura,mizoram,7
maharashtra,mizoram,3
nct of delhi,mizoram,1
nagaland,mizoram,1
west bengal,mizoram,1
jammu & kashmir,mizoram,0
assam,nagaland,356
manipur,nagaland,261
bihar,nagaland,111
west bengal,nagaland,38
uttar pradesh,nagaland,32
rajasthan,nagaland,27
tripura,nagaland,21
karnataka,nagaland,16
meghalaya,nagaland,10
jharkhand,nagaland,8
uttar pradesh,nct of delhi,3097
haryana,nct of delhi,889
bihar,nct of delhi,839
punjab,nct of delhi,527
rajasthan,nct of delhi,494
west bengal,nct of delhi,317
uttarakhand,nct of delhi,301
madhya pradesh,nct of delhi,199
maharashtra,nct of delhi,148
himachal pradesh,nct of delhi,105
bihar,odisha,799
andhra pradesh,odisha,796
west bengal,odisha,671
jharkhand,odisha,403
chhattisgarh,odisha,335
uttar pradesh,odisha,191
rajasthan,odisha,97
gujarat,odisha,80
maharashtra,odisha,68
madhya pradesh,odisha,61
tamil nadu,puducherry,793
andhra pradesh,puducherry,58
kerala,puducherry,31
gujarat,puducherry,9
karnataka,puducherry,9
rajasthan,puducherry,7
west bengal,puducherry,5
uttar pradesh,puducherry,3
odisha,puducherry,3
maharashtra,puducherry,3
uttar pradesh,punjab,1534
haryana,punjab,1177
bihar,punjab,696
himachal pradesh,punjab,447
rajasthan,punjab,358
chandigarh,punjab,306
jammu & kashmir,punjab,210
nct of delhi,punjab,140
west bengal,punjab,127
uttarakhand,punjab,122
madhya pradesh,rajasthan,989
uttar pradesh,rajasthan,975
haryana,rajasthan,577
gujarat,rajasthan,342
punjab,rajasthan,328
bihar,rajasthan,200
nct of delhi,rajasthan,181
maharashtra,rajasthan,158
west bengal,rajasthan,142
uttarakhand,rajasthan,46
west bengal,sikkim,121
bihar,sikkim,106
rajasthan,sikkim,6
uttar pradesh,sikkim,6
assam,sikkim,5
haryana,sikkim,3
arunachal pradesh,sikkim,2
jammu & kashmir,sikkim,1
himachal pradesh,sikkim,1
punjab,sikkim,1
kerala,tamil nadu,897
andhra pradesh,tamil nadu,594
karnataka,tamil nadu,513
rajasthan,tamil nadu,497
puducherry,tamil nadu,206
maharashtra,tamil nadu,179
gujarat,tamil nadu,92
west bengal,tamil nadu,63
uttar pradesh,tamil nadu,51
bihar,tamil nadu,43
assam,tripura,61
bihar,tripura,30
west bengal,tripura,17
jharkhand,tripura,14
rajasthan,tripura,7
mizoram,tripura,7
meghalaya,tripura,2
madhya pradesh,tripura,2
jammu & kashmir,tripura,1
nagaland,tripura,1
bihar,uttar pradesh,3323
nct of delhi,uttar pradesh,2881
madhya pradesh,uttar pradesh,1688
uttarakhand,uttar pradesh,1483
rajasthan,uttar pradesh,1127
west bengal,uttar pradesh,957
haryana,uttar pradesh,891
punjab,uttar pradesh,575
maharashtra,uttar pradesh,361
jharkhand,uttar pradesh,291
uttar pradesh,uttarakhand,1172
nct of delhi,uttarakhand,108
punjab,uttarakhand,90
haryana,uttarakhand,75
bihar,uttarakhand,71
rajasthan,uttarakhand,40
west bengal,uttarakhand,38
himachal pradesh,uttarakhand,23
maharashtra,uttarakhand,22
madhya pradesh,uttarakhand,16
bihar,west bengal,3571
jharkhand,west bengal,898
uttar pradesh,west bengal,849
assam,west bengal,467
odisha,west bengal,356
rajasthan,west bengal,349
gujarat,west bengal,164
maharashtra,west bengal,134
punjab,west bengal,110
tripura,west bengal,101
