Source,Target,Weight
tamil nadu,andaman & nicobar islands,65
west bengal,andaman & nicobar islands,39
andhra pradesh,andaman & nicobar islands,21
kerala,andaman & nicobar islands,21
karnataka,andaman & nicobar islands,20
uttar pradesh,andaman & nicobar islands,16
jharkhand,andaman & nicobar islands,12
maharashtra,andaman & nicobar islands,6
chhattisgarh,andaman & nicobar islands,4
madhya pradesh,andaman & nicobar islands,4
kerala,andhra pradesh,2910
tamil nadu,andhra pradesh,1697
karnataka,andhra pradesh,1240
odisha,andhra pradesh,917
maharashtra,andhra pradesh,809
west bengal,andhra pradesh,465
manipur,andhra pradesh,407
jharkhand,andhra pradesh,322
bihar,andhra pradesh,281
uttar pradesh,andhra pradesh,250
assam,arunachal pradesh,293
bihar,arunachal pradesh,98
uttar pradesh,arunachal pradesh,54
manipur,arunachal pradesh,26
meghalaya,arunachal pradesh,25
west bengal,arunachal pradesh,25
kerala,arunachal pradesh,19
nagaland,arunachal pradesh,11
punjab,arunachal pradesh,7
rajasthan,arunachal pradesh,7
arunachal pradesh,assam,330
nagaland,assam,262
meghalaya,assam,259
manipur,assam,193
bihar,assam,168
west bengal,assam,118
tripura,assam,114
rajasthan,assam,68
mizoram,assam,63
uttar pradesh,assam,59
jharkhand,bihar,971
uttar pradesh,bihar,389
west bengal,bihar,329
nct of delhi,bihar,69
punjab,bihar,39
odisha,bihar,36
maharashtra,bihar,32
jammu & kashmir,bihar,30
assam,bihar,27
rajasthan,bihar,23
punjab,chandigarh,3514
himachal pradesh,chandigarh,1751
haryana,chandigarh,1400
uttar pradesh,chandigarh,590
nct of delhi,chandigarh,288
uttarakhand,chandigarh,261
jammu & kashmir,chandigarh,235
rajasthan,chandigarh,153
manipur,chandigarh,101
bihar,chandigarh,90
madhya pradesh,chhattisgarh,853
jharkhand,chhattisgarh,448
uttar pradesh,chhattisgarh,324
odisha,chhattisgarh,321
bihar,chhattisgarh,270
kerala,chhattisgarh,242
maharashtra,chhattisgarh,227
west bengal,chhattisgarh,113
andhra pradesh,chhattisgarh,89
rajasthan,chhattisgarh,42
